Metric,Value,Test_Folder,Model_Format,Model_Name
Total time,0.94 sec,test_2_2 seconds_15fps,Pt,yolov8n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,Pt,yolov8n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,Pt,yolov8n-seg
Average Frame Processing Time,0.0312 sec,test_2_2 seconds_15fps,Pt,yolov8n-seg
Target Class Score,34.65%,test_2_2 seconds_15fps,Pt,yolov8n-seg
Processing FPS,32.01 fps,test_2_2 seconds_15fps,Pt,yolov8n-seg
Total time,1.81 sec,test_2_2 seconds_15fps,Pt,yolo11m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,Pt,yolo11m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,Pt,yolo11m-seg
Average Frame Processing Time,0.0602 sec,test_2_2 seconds_15fps,Pt,yolo11m-seg
Target Class Score,36.25%,test_2_2 seconds_15fps,Pt,yolo11m-seg
Processing FPS,16.60 fps,test_2_2 seconds_15fps,Pt,yolo11m-seg
Total time,1.91 sec,test_2_2 seconds_15fps,Pt,yolov8m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,Pt,yolov8m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,Pt,yolov8m-seg
Average Frame Processing Time,0.0637 sec,test_2_2 seconds_15fps,Pt,yolov8m-seg
Target Class Score,36.56%,test_2_2 seconds_15fps,Pt,yolov8m-seg
Processing FPS,15.71 fps,test_2_2 seconds_15fps,Pt,yolov8m-seg
Total time,1.35 sec,test_2_2 seconds_15fps,Pt,yolo11s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,Pt,yolo11s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,Pt,yolo11s-seg
Average Frame Processing Time,0.0449 sec,test_2_2 seconds_15fps,Pt,yolo11s-seg
Target Class Score,35.83%,test_2_2 seconds_15fps,Pt,yolo11s-seg
Processing FPS,22.25 fps,test_2_2 seconds_15fps,Pt,yolo11s-seg
Total time,1.24 sec,test_2_2 seconds_15fps,Pt,yolov8s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,Pt,yolov8s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,Pt,yolov8s-seg
Average Frame Processing Time,0.0414 sec,test_2_2 seconds_15fps,Pt,yolov8s-seg
Target Class Score,42.17%,test_2_2 seconds_15fps,Pt,yolov8s-seg
Processing FPS,24.17 fps,test_2_2 seconds_15fps,Pt,yolov8s-seg
Total time,1.02 sec,test_2_2 seconds_15fps,Pt,yolo11n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,Pt,yolo11n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,Pt,yolo11n-seg
Average Frame Processing Time,0.0339 sec,test_2_2 seconds_15fps,Pt,yolo11n-seg
Target Class Score,29.97%,test_2_2 seconds_15fps,Pt,yolo11n-seg
Processing FPS,29.51 fps,test_2_2 seconds_15fps,Pt,yolo11n-seg
Total time,0.82 sec,test_2_2 seconds_15fps,TensorRT,yolov8n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,TensorRT,yolov8n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,TensorRT,yolov8n-seg
Average Frame Processing Time,0.0272 sec,test_2_2 seconds_15fps,TensorRT,yolov8n-seg
Target Class Score,33.75%,test_2_2 seconds_15fps,TensorRT,yolov8n-seg
Processing FPS,36.71 fps,test_2_2 seconds_15fps,TensorRT,yolov8n-seg
Total time,1.54 sec,test_2_2 seconds_15fps,TensorRT,yolo11m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,TensorRT,yolo11m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,TensorRT,yolo11m-seg
Average Frame Processing Time,0.0513 sec,test_2_2 seconds_15fps,TensorRT,yolo11m-seg
Target Class Score,35.62%,test_2_2 seconds_15fps,TensorRT,yolo11m-seg
Processing FPS,19.51 fps,test_2_2 seconds_15fps,TensorRT,yolo11m-seg
Total time,1.52 sec,test_2_2 seconds_15fps,TensorRT,yolov8m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,TensorRT,yolov8m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,TensorRT,yolov8m-seg
Average Frame Processing Time,0.0506 sec,test_2_2 seconds_15fps,TensorRT,yolov8m-seg
Target Class Score,37.96%,test_2_2 seconds_15fps,TensorRT,yolov8m-seg
Processing FPS,19.77 fps,test_2_2 seconds_15fps,TensorRT,yolov8m-seg
Total time,1.06 sec,test_2_2 seconds_15fps,TensorRT,yolo11s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,TensorRT,yolo11s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,TensorRT,yolo11s-seg
Average Frame Processing Time,0.0354 sec,test_2_2 seconds_15fps,TensorRT,yolo11s-seg
Target Class Score,37.58%,test_2_2 seconds_15fps,TensorRT,yolo11s-seg
Processing FPS,28.27 fps,test_2_2 seconds_15fps,TensorRT,yolo11s-seg
Total time,1.11 sec,test_2_2 seconds_15fps,TensorRT,yolov8s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,TensorRT,yolov8s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,TensorRT,yolov8s-seg
Average Frame Processing Time,0.0369 sec,test_2_2 seconds_15fps,TensorRT,yolov8s-seg
Target Class Score,41.56%,test_2_2 seconds_15fps,TensorRT,yolov8s-seg
Processing FPS,27.09 fps,test_2_2 seconds_15fps,TensorRT,yolov8s-seg
Total time,0.84 sec,test_2_2 seconds_15fps,TensorRT,yolo11n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,TensorRT,yolo11n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,TensorRT,yolo11n-seg
Average Frame Processing Time,0.0280 sec,test_2_2 seconds_15fps,TensorRT,yolo11n-seg
Target Class Score,34.12%,test_2_2 seconds_15fps,TensorRT,yolo11n-seg
Processing FPS,35.65 fps,test_2_2 seconds_15fps,TensorRT,yolo11n-seg
Total time,2.03 sec,test_2_2 seconds_15fps,onnx,yolov8n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolov8n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolov8n-seg
Average Frame Processing Time,0.0676 sec,test_2_2 seconds_15fps,onnx,yolov8n-seg
Target Class Score,34.02%,test_2_2 seconds_15fps,onnx,yolov8n-seg
Processing FPS,14.78 fps,test_2_2 seconds_15fps,onnx,yolov8n-seg
Total time,6.21 sec,test_2_2 seconds_15fps,onnx,yolo11m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolo11m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolo11m-seg
Average Frame Processing Time,0.2070 sec,test_2_2 seconds_15fps,onnx,yolo11m-seg
Target Class Score,35.69%,test_2_2 seconds_15fps,onnx,yolo11m-seg
Processing FPS,4.83 fps,test_2_2 seconds_15fps,onnx,yolo11m-seg
Total time,5.14 sec,test_2_2 seconds_15fps,onnx,yolov8m-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolov8m-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolov8m-seg
Average Frame Processing Time,0.1713 sec,test_2_2 seconds_15fps,onnx,yolov8m-seg
Target Class Score,37.73%,test_2_2 seconds_15fps,onnx,yolov8m-seg
Processing FPS,5.84 fps,test_2_2 seconds_15fps,onnx,yolov8m-seg
Total time,3.93 sec,test_2_2 seconds_15fps,onnx,yolo11s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolo11s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolo11s-seg
Average Frame Processing Time,0.1310 sec,test_2_2 seconds_15fps,onnx,yolo11s-seg
Target Class Score,37.70%,test_2_2 seconds_15fps,onnx,yolo11s-seg
Processing FPS,7.64 fps,test_2_2 seconds_15fps,onnx,yolo11s-seg
Total time,4.67 sec,test_2_2 seconds_15fps,onnx,yolov8s-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolov8s-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolov8s-seg
Average Frame Processing Time,0.1556 sec,test_2_2 seconds_15fps,onnx,yolov8s-seg
Target Class Score,41.58%,test_2_2 seconds_15fps,onnx,yolov8s-seg
Processing FPS,6.43 fps,test_2_2 seconds_15fps,onnx,yolov8s-seg
Total time,2.28 sec,test_2_2 seconds_15fps,onnx,yolo11n-seg
Video FPS,15 fps,test_2_2 seconds_15fps,onnx,yolo11n-seg
Video Duration,2.00 sec,test_2_2 seconds_15fps,onnx,yolo11n-seg
Average Frame Processing Time,0.0761 sec,test_2_2 seconds_15fps,onnx,yolo11n-seg
Target Class Score,33.93%,test_2_2 seconds_15fps,onnx,yolo11n-seg
Processing FPS,13.14 fps,test_2_2 seconds_15fps,onnx,yolo11n-seg
Total time,0.43 sec,test_3_1 seconds_15fps,Pt,yolov8n-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolov8n-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolov8n-seg
Average Frame Processing Time,0.0283 sec,test_3_1 seconds_15fps,Pt,yolov8n-seg
Target Class Score,36.29%,test_3_1 seconds_15fps,Pt,yolov8n-seg
Processing FPS,35.29 fps,test_3_1 seconds_15fps,Pt,yolov8n-seg
Total time,0.95 sec,test_3_1 seconds_15fps,Pt,yolo11m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolo11m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolo11m-seg
Average Frame Processing Time,0.0633 sec,test_3_1 seconds_15fps,Pt,yolo11m-seg
Target Class Score,50.21%,test_3_1 seconds_15fps,Pt,yolo11m-seg
Processing FPS,15.80 fps,test_3_1 seconds_15fps,Pt,yolo11m-seg
Total time,0.95 sec,test_3_1 seconds_15fps,Pt,yolov8m-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolov8m-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolov8m-seg
Average Frame Processing Time,0.0632 sec,test_3_1 seconds_15fps,Pt,yolov8m-seg
Target Class Score,49.98%,test_3_1 seconds_15fps,Pt,yolov8m-seg
Processing FPS,15.82 fps,test_3_1 seconds_15fps,Pt,yolov8m-seg
Total time,0.62 sec,test_3_1 seconds_15fps,Pt,yolo11s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolo11s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolo11s-seg
Average Frame Processing Time,0.0412 sec,test_3_1 seconds_15fps,Pt,yolo11s-seg
Target Class Score,46.37%,test_3_1 seconds_15fps,Pt,yolo11s-seg
Processing FPS,24.28 fps,test_3_1 seconds_15fps,Pt,yolo11s-seg
Total time,0.55 sec,test_3_1 seconds_15fps,Pt,yolov8s-seg
Video FPS,15 fps,test_3_1 seconds_15fps,Pt,yolov8s-seg
Video Duration,1.00 sec,test_3_1 seconds_15fps,Pt,yolov8s-seg
Average Frame Processing Time,0.0370 sec,test_3_1 seconds_15fps,Pt,yolov8s-seg
Target Class Score,47.53%,test_3_1 seconds_15fps,Pt,yolov8s-seg
