Test_Folder,Model_Format,Model_Name,Average Frame Processing Time,Processing FPS,Target Class Score,Total time,Video Duration,Video FPS
test_0_1 seconds_30fps,Pt,yolo11m-seg,0.0591 sec,16.91 fps,51.16%,1.77 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,Pt,yolo11n-seg,0.0329 sec,30.38 fps,37.44%,0.99 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,Pt,yolo11s-seg,0.0397 sec,25.21 fps,47.02%,1.19 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,Pt,yolov8m-seg,0.0579 sec,17.26 fps,50.18%,1.74 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,Pt,yolov8n-seg,0.0298 sec,33.51 fps,36.07%,0.90 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,Pt,yolov8s-seg,0.0371 sec,26.93 fps,47.06%,1.11 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,TensorRT,yolo11m-seg,0.0487 sec,20.52 fps,53.44%,1.46 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,TensorRT,yolo11n-seg,0.0270 sec,37.01 fps,38.53%,0.81 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,TensorRT,yolo11s-seg,0.0329 sec,30.38 fps,47.96%,0.99 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,TensorRT,yolov8m-seg,0.0465 sec,21.52 fps,51.61%,1.39 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,TensorRT,yolov8n-seg,0.0285 sec,35.12 fps,36.70%,0.85 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,TensorRT,yolov8s-seg,0.0335 sec,29.81 fps,47.42%,1.01 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,onnx,yolo11m-seg,0.2063 sec,4.85 fps,53.49%,6.19 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,onnx,yolo11n-seg,0.0744 sec,13.44 fps,38.45%,2.23 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,onnx,yolo11s-seg,0.1164 sec,8.59 fps,48.15%,3.49 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,onnx,yolov8m-seg,0.1677 sec,5.96 fps,51.62%,5.03 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,onnx,yolov8n-seg,0.0686 sec,14.59 fps,36.60%,2.06 sec,1.00 sec,30 fps
test_0_1 seconds_30fps,onnx,yolov8s-seg,0.1567 sec,6.38 fps,47.19%,4.70 sec,1.00 sec,30 fps
test_1_10 seconds_30fps,Pt,yolo11m-seg,0.0490 sec,20.40 fps,0.26%,14.71 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,Pt,yolo11n-seg,0.0279 sec,35.81 fps,0.00%,8.38 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,Pt,yolo11s-seg,0.0313 sec,31.93 fps,0.00%,9.40 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,Pt,yolov8m-seg,0.0468 sec,21.37 fps,0.30%,14.04 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,Pt,yolov8n-seg,0.0267 sec,37.49 fps,0.00%,8.00 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,Pt,yolov8s-seg,0.0315 sec,31.76 fps,0.00%,9.45 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,TensorRT,yolo11m-seg,0.0406 sec,24.64 fps,0.45%,12.18 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,TensorRT,yolo11n-seg,0.0240 sec,41.74 fps,0.00%,7.19 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,TensorRT,yolo11s-seg,0.0293 sec,34.11 fps,0.00%,8.79 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,TensorRT,yolov8m-seg,0.0387 sec,25.86 fps,0.29%,11.60 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,TensorRT,yolov8n-seg,0.0247 sec,40.53 fps,0.00%,7.40 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,TensorRT,yolov8s-seg,0.0300 sec,33.31 fps,0.00%,9.01 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,onnx,yolo11m-seg,0.0892 sec,11.22 fps,0.46%,26.75 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,onnx,yolo11n-seg,0.0375 sec,26.67 fps,0.00%,11.25 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,onnx,yolo11s-seg,0.0525 sec,19.04 fps,0.00%,15.75 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,onnx,yolov8m-seg,0.0782 sec,12.79 fps,0.29%,23.45 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,onnx,yolov8n-seg,0.0374 sec,26.72 fps,0.00%,11.23 sec,10.00 sec,30 fps
test_1_10 seconds_30fps,onnx,yolov8s-seg,0.0551 sec,18.13 fps,0.00%,16.54 sec,10.00 sec,30 fps
test_2_2 seconds_15fps,Pt,yolo11m-seg,0.0602 sec,16.60 fps,36.25%,1.81 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,Pt,yolo11n-seg,0.0339 sec,29.51 fps,29.97%,1.02 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,Pt,yolo11s-seg,0.0449 sec,22.25 fps,35.83%,1.35 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,Pt,yolov8m-seg,0.0637 sec,15.71 fps,36.56%,1.91 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,Pt,yolov8n-seg,0.0312 sec,32.01 fps,34.65%,0.94 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,Pt,yolov8s-seg,0.0414 sec,24.17 fps,42.17%,1.24 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,TensorRT,yolo11m-seg,0.0513 sec,19.51 fps,35.62%,1.54 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,TensorRT,yolo11n-seg,0.0280 sec,35.65 fps,34.12%,0.84 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,TensorRT,yolo11s-seg,0.0354 sec,28.27 fps,37.58%,1.06 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,TensorRT,yolov8m-seg,0.0506 sec,19.77 fps,37.96%,1.52 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,TensorRT,yolov8n-seg,0.0272 sec,36.71 fps,33.75%,0.82 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,TensorRT,yolov8s-seg,0.0369 sec,27.09 fps,41.56%,1.11 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,onnx,yolo11m-seg,0.2070 sec,4.83 fps,35.69%,6.21 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,onnx,yolo11n-seg,0.0761 sec,13.14 fps,33.93%,2.28 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,onnx,yolo11s-seg,0.1310 sec,7.64 fps,37.70%,3.93 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,onnx,yolov8m-seg,0.1713 sec,5.84 fps,37.73%,5.14 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,onnx,yolov8n-seg,0.0676 sec,14.78 fps,34.02%,2.03 sec,2.00 sec,15 fps
test_2_2 seconds_15fps,onnx,yolov8s-seg,0.1556 sec,6.43 fps,41.58%,4.67 sec,2.00 sec,15 fps
test_3_1 seconds_15fps,Pt,yolo11m-seg,0.0633 sec,15.80 fps,50.21%,0.95 sec,1.00 sec,15 fps
test_3_1 seconds_15fps,Pt,yolo11n-seg,0.0327 sec,30.59 fps,37.72%,0.49 sec,1.00 sec,15 fps
test_3_1 seconds_15fps,Pt,yolo11s-seg,0.0412 sec,24.28 fps,46.37%,0.62 sec,1.00 sec,15 fps
test_3_1 seconds_15fps,Pt,yolov8m-seg,0.0632 sec,15.82 fps,49.98%,0.95 sec,1.00 sec,15 fps
test_3_1 seconds_15fps,Pt,yolov8n-seg,0.0283 sec,35.29 fps,36.29%,0.43 sec,1.00 sec,15 fps
test_3_1 seconds_15fps,Pt,yolov8s-seg,0.0370 sec,27.03 fps,47.53%,0.55 sec,1.00 sec,15 fps
test_3_1 seconds_15fps,TensorRT,yolo11m-seg,0.0516 sec,19.40 fps,52.43%,0.77 sec,1.00 sec,15 fps
